Artist,Track,SpotifyID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Key_mode_Ratio,duration_ms,billboard_hit
Sonora Santanera,Amor De Cabaret,5JeyXbf7CrVQ8DqwFikN0P,0.699,0.519,-6.422,0.029,0.689,0.000471,0.935,0.676,102.463,8.0,183027,0
JennyAnyKind,Young Boy Blues,5uN6oY2NGLC6GKoywHKkZA,0.458,0.57,-9.159,0.0495,5.54e-05,0.000768,0.0988,0.203,146.609,0.0,218907,0
Casual,I Didn't Mean To,01TR6aAKrA2cI3Z0gnCOsu,0.751,0.549,-10.508,0.429,0.063,2.47e-05,0.106,0.553,92.224,0.0,218933,0
Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),7ERvcsBBYzSHqQQqlI9xAN,0.456,0.472,-8.328,0.0325,0.706,4.93e-06,0.0833,0.286,147.565,5.0,267640,0
Tweeterfriendly Music,Drop of Rain,6dfppQDZQ4x3fCs6N89kV3,0.498,0.3,-10.716,0.0352,0.553,0.000116,0.0963,0.185,100.315,7.0,189560,0
Rated R,Keepin It Real (Skit),0e4hF4Jxyh7cuwB2pMYhBh,0.683,0.173,-16.056,0.895,0.799,0.0,0.23,0.696,83.834,1.0,112947,0
Jimmy Wakely,Broken-Down Merry-Go-Round,0OeACzDjHCfFAC0VwSCv3C,0.591,0.19,-12.696,0.028,0.791,0.0,0.12,0.561,85.961,1.0,151173,0
lextrical,Synthetic Dream,01rXKwe1sC4OJvI01BmhAL,0.583,0.589,-6.856,0.0298,0.621,0.89,0.139,0.277,138.339,0.0,168080,0
Alice Stuart,Kassie Jones,5IFHuCYpvtEyPfp2LS0bwF,0.581,0.413,-6.546,0.0325,0.511,0.000272,0.188,0.527,110.222,11.0,220800,0
Bob Azzam,Auguri Cha Cha,0DiSk1STsEM5bVOQHBqB1N,0.699,0.44,-12.359,0.033,0.268,0.00033,0.294,0.909,137.358,6.0,191949,0
Andy Andy,La Culpa,4NPrFFGPfS4el9lbtC5gGZ,0.756,0.533,-7.128,0.178,0.111,0.000103,0.0709,0.874,176.042,0.0,199091,0
Faiz Ali Faiz,Sohna Nee Sohna Data,3ukWqBHE8jIlRSKNP99I7X,0.569,0.876,-6.505,0.0426,0.308,0.152,0.472,0.931,99.325,6.0,599240,0
Elena,Setanta matins,1ZV1Ff9ebiB5pXpnC8Hfan,0.537,0.367,-6.547,0.0336,0.664,0.0455,0.0738,0.347,142.016,2.0,269351,0
John Wesley,The Emperor Falls,2dq9mEgzYTlz3GnZrkQM4Z,0.499,0.566,-15.365,0.0327,2.34e-05,0.233,0.106,0.588,137.978,0.0,485000,0
Five Bolt Main,Made Like This (Live),6bswgr5zXEgDRfNytZeqzL,0.197,0.988,-5.486,0.28,0.00287,6.89e-05,0.941,0.108,162.367,7.0,225093,0
Clp,Superconfidential,5KZSRoDwhKYu2ermOEWBKo,0.839,0.865,-6.563,0.0519,0.235,0.0,0.106,0.711,117.981,1.0,253760,0
Jacob Young,In A Subtle Way,055muESTeShEPTRc1LS55R,0.532,0.174,-19.861,0.0382,0.797,0.841,0.108,0.628,90.0,6.0,459773,0
Despina Vandi,OUTE ENA EFHARISTO,6NoLp6XUqOirwJbXtsvO03,0.579,0.641,-7.033,0.0605,0.745,0.000346,0.117,0.343,127.388,0.0,303373,0
Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",4RlRwnxwwLmsgwUN0PSKEe,0.21,0.897,-8.898,0.085,0.0437,0.681,0.362,0.121,130.473,0.0,450840,0
Vickie Winans,Make Me Over,6kkWAhTJUjglrO2dyfgs9F,0.794,0.753,-8.927,0.0799,0.147,0.0,0.0666,0.689,107.988,0.0,231867,0
Edith Lefel,An ti chans',6omT9DqJGIxNCov39vah4k,0.66,0.949,-4.741,0.0458,0.0624,0.0943,0.213,0.911,102.005,0.0,277347,0
Yamandu Costa,Mafuá,4BcmPOnvvHLz4HP9alWXJq,0.477,0.332,-13.546,0.0384,0.945,0.88,0.108,0.829,106.04,2.0,191033,0
Suzanne Ciani,Stream,7swrwaG4qfEts69IL0Ur4j,0.258,0.423,-13.771,0.0388,0.769,0.944,0.709,0.286,104.3,7.0,257040,0
Murskahumppa,Ota kiinni,6lf2srkPhBqC8yzZYeiWhI,0.254,0.614,-7.642,0.0373,0.000534,2.53e-06,0.0865,0.287,127.527,7.0,285347,0
Taras,I Will Love Again (JJ's Club Radio),0HvjwIVLZA23YsAfuQB1pm,0.606,0.887,-6.512,0.0291,0.000123,0.000908,0.352,0.757,127.996,0.0,200264,0
The Dirty Skirts,Wake,2gSHfDQyQbFFX6ZkHgCzu7,0.531,0.933,-4.56,0.0395,0.0369,0.00711,0.339,0.555,141.889,0.0,207067,0
Hank Penny & The Lincoln Penny Orchestra,Dixie,52wWjVg8rR2bbLjgY9ngvj,0.573,0.303,-15.125,0.0515,0.521,0.132,0.0628,0.66,121.268,0.0,128067,0
Borialis,Hourglass,4BPY5xtNGUcZDzxDM0DpnU,0.485,0.94,-5.674,0.0507,0.000145,0.0,0.175,0.714,87.092,2.0,239267,0
Nadine Renee,Next Time,6CiIoP99xfVW0FRSXhB7wk,0.596,0.591,-6.86,0.034,0.265,0.0,0.0974,0.28,84.031,2.0,249382,0
Flor Silvestre,Caricia Y Herida,50tHPGywaRMpHONxL7bkZZ,0.756,0.49,-7.115,0.0297,0.849,0.00146,0.194,0.897,106.18,4.0,134769,0
Julien Clerc,This Melody (Live),0eaWlnrNBi96s1kCmnikta,0.633,0.489,-10.798,0.0336,0.309,0.0,0.948,0.502,112.699,7.0,269267,0
Ellen McIlwaine,Spontanous Combustion,6fvMUUffhEufTUNLc4uUHO,0.5,0.592,-6.146,0.0923,0.0465,0.0,0.182,0.757,133.523,7.0,277840,0
Sonny Simmons,A Distant Voice,6Bt2xLOhOvoYLqj5xRltSs,0.282,0.011,-17.782,0.0447,0.823,0.11,0.0685,0.0791,138.701,0.0,442991,0
Bézu,Le tortillard,5SeLcfEllntpLsQZjE27Je,0.704,0.967,-3.246,0.0438,0.097,0.0,0.314,0.905,126.98,2.0,286427,0
Richard Burton,I See The Boys Of Summer,68iMc2cxaPkVm5oEHHqHqL,0.694,0.0373,-25.234,0.495,0.88,0.0,0.145,0.431,105.197,7.0,173726,0
Howard Armstrong,My Four Reasons,1DbMpBy570dOwInKptdZ9A,0.737,0.417,-12.997,0.19,0.788,5.64e-06,0.362,0.931,126.955,5.0,198933,0
Miguel Gallardo,Eternamente Amame,7Cj3XPczuuW2N0E5IX1HlG,0.63,0.461,-12.377,0.0315,0.661,0.0,0.121,0.348,126.414,0.0,237840,0
Tyrone Davis,Cheatin' In The Next Room,3xwDeFIM42Mj9DeiY9h41q,0.692,0.435,-10.728,0.0374,0.426,0.00104,0.0668,0.713,80.989,10.0,235907,0
